FID,id,name,name_category,category,wkb_geometry,long,lat
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d7,13,Bella Center,19130,Station/Metro,POINT (12.58291790188751 55.63808144159164),12.5829179,55.63808144
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d6,14,Ørestad,19130,Station/Metro,POINT (12.579242054680918 55.628714222686526),12.57924205,55.62871422
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d5,15,Vestamager,19130,Station/Metro,POINT (12.575573476907428 55.619363794531594),12.57557348,55.61936379
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d4,16,Langgade,19130,Station/Metro,POINT (12.503985639108704 55.66718308046223),12.50398564,55.66718308
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d3,17,KB Hallen,19130,Station/Metro,POINT (12.492160770691216 55.67791235316916),12.49216077,55.67791235
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d2,18,Ålholm,19130,Station/Metro,POINT (12.493009725526036 55.67216353996209),12.49300973,55.67216354
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d1,19,Danshøj,19130,Station/Metro,POINT (12.493651325761173 55.66457966805541),12.49365133,55.66457967
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7d0,20,Vigerslev Allé,19130,Station/Metro,POINT (12.499082899528844 55.65973381653242),12.4990829,55.65973382
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7cf,21,Ny Ellebjerg,19130,Station/Metro,POINT (12.517140163356315 55.652312421286304),12.51714016,55.65231242
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ce,22,Københavns Hovedbanegård,19130,Station/Metro,POINT (12.56447400285928 55.67282777792315),12.564474,55.67282778
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7cd,23,Vesterport,19130,Station/Metro,POINT (12.56236694495368 55.675915810008554),12.56236694,55.67591581
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7cc,24,Nørreport,19130,Station/Metro,POINT (12.571624920196074 55.68330610600563),12.57162492,55.68330611
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7cb,25,Østerport,19130,Station/Metro,POINT (12.586985436303522 55.69266441199687),12.58698544,55.69266441
stednavn_punkt.fid-361ad8c1_150a94a2aab_-7ca,26,Valby,19130,Station/Metro,POINT (12.513951781588252 55.66380658705647),12.51395178,55.66380659
